id,make,model,displ,cyl,trans,drive,fuel,salesArea,stnd,stnd_description,underhood_id,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,comb_co2
1,ACURA,ILX,2,4,SemiAuto-5,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FHNXV02.0JA3,small car,5,24,35,28,7,No,316
2,ACURA,ILX,2,4,SemiAuto-5,2WD,Gasoline,CA,U2,California LEV-II ULEV,FHNXV02.0JA3,small car,6,24,35,28,7,Yes,316
3,ACURA,ILX,2.4,4,Man-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FHNXV02.4KA3,small car,5,22,31,25,6,No,350
4,ACURA,ILX,2.4,4,Man-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FHNXV02.4KA3,small car,6,22,31,25,6,No,350
5,ACURA,MDX,3.5,6,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FHNXV03.5XA4,small SUV,5,18,27,21,5,No,416
6,ACURA,MDX,3.5,6,SemiAuto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,FHNXV03.5XA4,small SUV,6,18,27,21,5,No,416
7,ACURA,MDX,3.5,6,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FHNXV03.5XA4,small SUV,5,20,28,23,5,No,387
8,ACURA,MDX,3.5,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FHNXV03.5XA4,small SUV,6,20,28,23,5,No,387
9,ACURA,RDX,3.5,6,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FHNXT03.5EV3,small SUV,5,19,27,22,5,No,399
10,ACURA,RDX,3.5,6,SemiAuto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,FHNXT03.5EV3,small SUV,6,19,27,22,5,No,399
