INFO  - 2014-09-22 18:05:43.019; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-09-22 18:05:43.117; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor C:\dev\solr-4.10.0\solr-4.10.0\example\contexts at interval 0
INFO  - 2014-09-22 18:05:43.142; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: C:\dev\solr-4.10.0\solr-4.10.0\example\contexts\solr-jetty-context.xml
INFO  - 2014-09-22 18:05:43.330; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/C:/dev/solr-4.10.0/solr-4.10.0/example/webapps/solr.war!/ to C:\dev\solr-4.10.0\solr-4.10.0\example\solr-webapp\webapp
INFO  - 2014-09-22 18:05:56.222; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-09-22 18:05:56.527; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-09-22 18:05:56.627; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-09-22 18:05:56.629; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: C:\dev\solr-4.10.0\solr-4.10.0\example\solr
INFO  - 2014-09-22 18:05:56.632; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'C:\dev\solr-4.10.0\solr-4.10.0\example\solr\'
INFO  - 2014-09-22 18:05:57.266; org.apache.solr.core.ConfigSolr; Loading container configuration from C:\dev\solr-4.10.0\solr-4.10.0\example\solr\solr.xml
INFO  - 2014-09-22 18:05:58.231; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: C:\dev\solr-4.10.0\solr-4.10.0\example\solr
INFO  - 2014-09-22 18:05:58.260; org.apache.solr.core.CoreContainer; New CoreContainer 1094417099
INFO  - 2014-09-22 18:05:58.261; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=C:\dev\solr-4.10.0\solr-4.10.0\example\solr\]
INFO  - 2014-09-22 18:05:58.331; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-09-22 18:05:58.333; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-09-22 18:05:58.353; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-09-22 18:05:58.361; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-09-22 18:05:58.363; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-09-22 18:05:58.365; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-09-22 18:05:58.367; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-09-22 18:05:58.369; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-09-22 18:05:58.371; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-09-22 18:05:58.942; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2014-09-22 18:05:58.951; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-09-22 18:05:58.955; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-09-22 18:05:58.961; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2014-09-22 18:06:07.059; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath C:\dev\solr-4.10.0\solr-4.10.0\example\solr
INFO  - 2014-09-22 18:06:07.111; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\
INFO  - 2014-09-22 18:06:07.115; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-09-22 18:06:07.131; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\'
INFO  - 2014-09-22 18:06:07.736; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2014-09-22 18:06:07.757; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-09-22 18:06:07.763; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-09-22 18:06:07.769; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2014-09-22 18:06:07.777; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
